niter,enrichment,pcv,seqdepth,targetNreads,Filenames
1,0.3,1,19997493,5999248,GCA_009849465.1.fna_post_extract.fna
2,0.3,1,20005322,6001597,GCA_009851715.1.fna_post_extract.fna
3,0.3,1,19992444,5997733,GCA_018594185.1.fna_post_extract.fna
4,0.3,1,20000578,6000173,GCA_009851805.1.fna_post_extract.fna
5,0.3,1,20007670,6002301,GCA_009850175.1.fna_post_extract.fna
6,0.3,1,20002061,6000618,GCA_009849375.1.fna_post_extract.fna
7,0.3,1,19994342,5998303,GCA_009851825.1.fna_post_extract.fna
8,0.3,1,19992275,5997682,GCA_018594175.1.fna_post_extract.fna
9,0.3,1,20005474,6001642,GCA_018593555.1.fna_post_extract.fna
10,0.3,1,20001609,6000483,GCA_018594175.1.fna_post_extract.fna
11,0.3,1,20001792,6000538,GCA_018594255.1.fna_post_extract.fna
12,0.3,1,20000494,6000148,GCA_009848825.1.fna_post_extract.fna
13,0.3,1,19997514,5999254,GCA_029855905.1.fna_post_extract.fna
14,0.3,1,20005790,6001737,GCA_009849235.1.fna_post_extract.fna
15,0.3,1,20003691,6001107,GCA_009850145.1.fna_post_extract.fna
16,0.3,1,19999750,5999925,GCA_018593965.1.fna_post_extract.fna
17,0.3,1,19997885,5999366,GCA_018593835.1.fna_post_extract.fna
18,0.3,1,19999034,5999710,GCA_009850175.1.fna_post_extract.fna
19,0.3,1,19995411,5998623,GCA_018593765.1.fna_post_extract.fna
20,0.3,1,19999617,5999885,GCA_009849505.1.fna_post_extract.fna
21,0.3,1,19992456,5997737,GCA_009848805.1.fna_post_extract.fna
22,0.3,1,19994787,5998436,GCA_009850135.1.fna_post_extract.fna
23,0.3,1,19994910,5998473,GCA_009849145.1.fna_post_extract.fna
24,0.3,1,19998568,5999570,GCA_009852155.1.fna_post_extract.fna
25,0.3,1,19998680,5999604,GCA_009848805.1.fna_post_extract.fna
26,0.3,1,19999421,5999826,GCA_009852335.1.fna_post_extract.fna
27,0.3,1,20003674,6001102,GCA_009850055.1.fna_post_extract.fna
28,0.3,1,20003079,6000924,GCA_009849845.1.fna_post_extract.fna
29,0.3,1,20002477,6000743,GCA_018593555.1.fna_post_extract.fna
30,0.3,1,19999723,5999917,GCA_018593765.1.fna_post_extract.fna
31,0.3,1,20001281,6000384,GCA_009848925.1.fna_post_extract.fna
32,0.3,1,19994541,5998362,GCA_029855465.1.fna_post_extract.fna
33,0.3,1,19999070,5999721,GCA_018594175.1.fna_post_extract.fna
34,0.3,1,19999266,5999780,GCA_009850055.1.fna_post_extract.fna
35,0.3,1,20005402,6001621,GCA_018593865.1.fna_post_extract.fna
36,0.3,1,19994977,5998493,GCA_009852305.1.fna_post_extract.fna
37,0.3,1,20001805,6000542,GCA_009852155.1.fna_post_extract.fna
38,0.3,1,19996035,5998810,GCA_009848995.1.fna_post_extract.fna
39,0.3,1,19999627,5999888,GCA_020423455.1.fna_post_extract.fna
40,0.3,1,19998067,5999420,GCA_018593675.1.fna_post_extract.fna
41,0.3,1,19999808,5999942,GCA_018594025.1.fna_post_extract.fna
42,0.3,1,20001234,6000370,GCA_009849855.1.fna_post_extract.fna
43,0.3,1,19995308,5998592,GCA_018593915.1.fna_post_extract.fna
44,0.3,1,19993073,5997922,GCA_009851605.1.fna_post_extract.fna
45,0.3,1,19995214,5998564,GCA_009849845.1.fna_post_extract.fna
46,0.3,1,20000965,6000290,GCA_018593555.1.fna_post_extract.fna
47,0.3,1,20001697,6000509,GCA_009851825.1.fna_post_extract.fna
48,0.3,1,19997753,5999326,GCA_009849105.1.fna_post_extract.fna
49,0.3,1,20009614,6002884,GCA_009849505.1.fna_post_extract.fna
50,0.3,1,19994032,5998210,GCA_009849205.1.fna_post_extract.fna
51,0.3,1,20001357,6000407,GCA_009849985.1.fna_post_extract.fna
52,0.3,1,20002004,6000601,GCA_009849425.1.fna_post_extract.fna
53,0.3,1,20000237,6000071,GCA_009849465.1.fna_post_extract.fna
54,0.3,1,20004124,6001237,GCA_009849425.1.fna_post_extract.fna
55,0.3,1,20009168,6002750,GCA_029855905.1.fna_post_extract.fna
